recipe_id,name,image,description,user_id,preparation,cooktime,level,serves,category,type,calories,protein,carbohydrates,fat,cholesterol,salt,created_at,like_num,is_editerpick
2,Kohlapuri Chicken,C2. Kohlapuri Chicken.jpg,"Marinated and then cooked with bay leaf, cinnamon, cloves, black pepper and ground paste, this is a fav dish of Maharashtrians.",1,40 mins,30 mins,Tough,8,Chicken,Non-Veg,520 cal,28%,18%,50%,131 mg,4%,1/1/2015,,0
3,Chicken Pulao,C3. Chicken Pulao.jpg,Pulao is a rice-based dish which often also includes ingredients like vegetables and meat.,1,15 mins,40 mins,Moderate,4,Chicken,Non-Veg,542 cal,28%,52%,21%,40 mg,4%,1/1/2015,,0
4,Roasted Chicken,C4. Roasted Chicken.jpg,"A perfectly roasted chicken has a crunchy skin on the outside and juicy, tender meat underneath.",1,10 mins,70 mins,Easy,6,Chicken,Non-Veg,567 cal,54%,12%,35%,75 mg,6%,1/1/2015,,0
5,Chicken Chettinad,C5. Chicken Chettinad.jpg,A melange of spices makes this fiery chicken dish a Southern favorite.,1,15 mins,30 mins,Moderate,3,Chicken,Non-Veg,279 cal,40%,13%,47%,75 mg,6%,1/1/2015,,0
6,Chicken Lababdar,C6. Chicken Lababdar.jpg,"Delicately spiced and laced with butter, cream and tomatoes, chicken lababdar is sure to become one of your favourites too.",1,15 mins,30 mins,Moderate,3,Chicken,Non-Veg,249 cal,37%,32%,27%,74 mg,4%,1/1/2015,,0
7,Chicken (Murg) Mussallam,C7. Murg Mussallam.jpg,Murg Musallam is a typical North-west Indian chicken or murg recipe subtly flavoured with Indian spices and cooked in onion based gravy.,1,80 mins,30 mins,Tough,6,Chicken,Non-Veg,414 cal,55%,13%,30%,160 mg,4%,1/1/2015,,0
8,Chicken Jalfrezi,C8. Chicken Jalfrezi.jpg,Chicken Jalfrezi is mild hot chicken curry richly flavored with capsicum and onion. ,1,10 mins,50 mins,Tough,4,Chicken,Non-Veg,343 cal,62%,12%,25%,131 mg,5%,1/1/2015,,0
9,Almond (Badami) Chicken,C9. Almond Chicken.jpg,This is an Indian mughlai dish that uses both finely ground and slivered almonds.,1,30 mins,45 mins,Tough,4,Chicken,Non-Veg,562 cal,34%,12%,52%,124 mg,4%,1/1/2015,,0
10,Mangalore Chicken,C10. Mangalore Chicken.jpg,This is a spicy Mangalorian delicay best served with Neer Dosa or Rice balls (Pundi).,1,25 mins,45 mins,Moderate,6,Chicken,Non-Veg,200 cal,39%,16%,43%,24 mg,5%,1/2/2015,,0
11,Chicken Shawarma,C11. Chicken Shawarma.jpg,Chicken Shawarma is a of garlicky meat or poultry served on pitas. This chicken version is flavored with a savory yogurt sauce.,1,60 mins,25 mins,Tough,4,Chicken,Non-Veg,384 cal,58%,19%,23%,122 mg,4%,1/2/2015,,0
12,Lemon Chicken,C12. Lemon Chicken.jpg,"Chicken cooked with citrus juice and indian spice. Paired with vegies, this is a dish with a lemony kick",1,15 mins,40 mins,Moderate,3,Chicken,Non-Veg,376 cal,48%,22%,30%,171 mg,4%,1/2/2015,,0
13,Fried Chicken,C13. Fried Chicken.jpg,"Tender and juice inside while crispy outside, this is chicken cooked with the minimum preparation",1,10 mins,20 mins,Moderate,4,Chicken,Non-Veg,402 cal,38%,42%,21%,90 mg,7%,1/2/2015,,0
14,Chicken Mayo Sandwich,C14. Chicken Mayo Sandwich.JPG,This sandwich is an instant classic. It's quick easy and everyone loves the flavor.,1,10 mins,10 mins,Easy,4,Chicken,Non-Veg,337 cal,50%,20%,30%,76 mg,4%,1/2/2015,,0
15,Chicken Tikka Masala,C15. Chicken Tikka Masala.jpg,Chicken marinated in yogurt and spices. The yogurt helps tenderize the chickenand the spices infuse it with lots of flavor.,1,30 mins,50 mins,Tough,3,Chicken,Non-Veg,479 cal,41%,23%,36%,175 mg,6%,1/2/2015,,0
16,Sweet & Spicy Chicken,C16. Sweet & Spicy Chicken.jpg,"Honey-imbued marinade spiked with fresh citrus juice gives this chicken its fiery, syrupy character. ",1,30 mins,50 mins,Moderate,3,Chicken,Non-Veg,409 cal,45%,22%,33%,154 mg,4%,1/2/2015,,0
17,Garlic Fried Chicken,C17. Garlic Fried Chicken.jpg,This Fried Chicken variation uses a hefty amount of garlic powder to add taste and nice aroma to the usual Fried Chicken Recipe.,1,30 mins,20 mins,Moderate,6,Chicken,Non-Veg,401 cal,45%,23%,30%,160 mg,4%,1/2/2015,,0
18,Amritsari Murg Makhani,C18. Amritsari Murg Makhni.jpg,"Tender chicken pieces marinated and cooked in a deep, rich gravy of fresh cream, butter, tomato and spices.",1,10 mins,30 mins,Moderate,4,Chicken,Non-Veg,543 cal,40%,24%,35%,131 mg,5%,1/2/2015,,0
19,Murg Malaiwala,C19. Murg Malaiwala.jpg,"Chicken is cooked in cream and milk and is very mildly spiced with garam masala powder, cardamom powder, saffron and some green chilies.",1,30 mins,45 mins,Tough,4,Chicken,Non-Veg,597 cal,32%,26%,42%,154 mg,4%,1/2/2015,,0
20,Kerela Chicken Roast,C20. Kerela Chicken Roast.jpg,"Fried chicken recipe teamed up with some chillies, fried onions and lemon juice to bring out that extra zing in this dish.",1,25 mins,30 mins,Moderate,4,Chicken,Non-Veg,497 cal,39%,16%,43%,24 mg,5%,1/2/2015,,0
21,Assamese Sour Fish (Masor Tenga),F1. Assamese Sour Fish.jpg,"Masor Tenga is a mouth-watering sour fish curry made from freshwater river fish & tomotoes, elongated lemon (kajinemu) or dried mangosteen(thereka ).",1,30 mins,20 mins,Moderate,4,Fish,Non-Veg,230 cal,55%,30%,20%,87 mg,4%,1/3/2015,,0
22,Malabar Fish Curry,F2. Malabar Fish Curry.jpg,The malabar fish curry is a Northern Kerala fish specialty with authentic Malabari flavors. ,1,10 mins,30 mins,Moderate,4,Fish,Non-Veg,243 cal,47%,12%,41%,123 mg,4%,1/3/2015,,0
23,Goan Fish Curry,F3. Goan Fish Curry.jpg,"Almost the staple food of Goa along with rice, fish curry made in this style is tangy and spicy.",1,10 mins,30 mins,Moderate,4,Fish,Non-Veg,535 cal,30%,5%,59%,143 mg,4%,1/3/2015,,0
24,Shrimp in Tender Coconut (Daab Chingri),F4. Shrimp in Tender coconut.jpg,"The divine aroma of the tender coconut water and kernel gets infused in the shrimps, giving this delicasy from West Bengal a fabulous flavour.",1,25 mins,40 mins,Tough,4,Fish,Non-Veg,280 cal,28%,24%,23%,143 mg,4%,1/3/2015,,0
25,Tuna Stuffed Cherry Tomato,F5. Tuna Stuffed Cheery Tomato.jpg,"Serve as an appetizer, take on a picnic or enjoy as a light lunch.",1,30 mins,0 mins,Easy,3,Fish,Non-Veg,86 cal,20%,35%,30%,112 mg,4%,1/3/2015,,0
26,Spicy Fish Fry,F6. Spicy Fish Fry.jpg,A spicy fish fry can be eaten on its own as an appetizer or starter or goes well with rice too. ,1,0 mins,20 mins,Easy,5,Fish,Non-Veg,300 cal,25%,35%,30%,132 mg,5%,1/3/2015,,0
27,Fish Amritsari,F7. Fish Amritsari.jpg,This mouth watering fried fish prepared with lot of spices is a popular street food of Punjab. ,1,30 mins,10 mins,Moderate,4,Fish,Non-Veg,600 cal,25%,24%,20%,119 mg,4%,1/3/2015,,0
28,Pomfret Fish Masala,F8. Pomfret Fish Masala.JPG,"A mouth-watering, refreshing and delectable seafood delicacy made with pomfret fish stuffed with spices.",1,15 mins,15 mins,Moderate,1,Fish,Non-Veg,230 cal,45%,24%,23%,98 mg,4%,1/3/2015,,0
29,Catfish Fish Curry (Pabda),F9. Catfish Fish Curry.JPG,Pabda is one of the many delicate sweet water fishes that Bengalis love to eat.,1,15 mins,25 mins,Moderate,5,Fish,Non-Veg,200 cal,35%,44%,23%,142 mg,4%,1/3/2015,,0
30,Yogurt Fish,F10. Yogurt Fish Curry.jpg,Yogurt tenderizes the fish in this recipe and gives it an unexpected taste. ,1,30 mins,20 mins,Moderate,6,Fish,Non-Veg,390 cal,50%,3%,50%,108 mg,4%,1/3/2015,,0
31,Fish in Green Manago Curry,F11. Fish in Green Mango Curry.JPG,Delicous fish cooked in a coconut gravy with raw mangoes.,1,30 mins,25 mins,Moderate,4,Fish,Non-Veg,230 cal,55%,30%,20%,97 mg,4%,1/4/2015,,0
32,Fish Kalia,F12. Fish Kalia.JPG,"A fish curry with thick gravy and medium spicy that can be served with Fried Rice, Pulow or even with steamed rice",1,10 mins,20 mins,Moderate,4,Fish,Non-Veg,274 cal,47%,18%,35%,102 mg,4%,1/4/2015,,0
33,Fish Sukka,F13. Fish Sukka.jpg,"A sweet, tangy fruit combined with the fish masala gives this fish gravy it's rather different and tasty flavour.",1,10 mins,30 mins,Moderate,4,Fish,Non-Veg,435 cal,40%,15%,39%,118 mg,4%,1/4/2015,,0
34,Hilsa Fish (Ilish Machh Bhapa),F14. Hilsa Fish.JPG,Hilsa fish steam cooked with a tangy paste of mustard and green chillies ,1,20 mins,25 mins,Tough,4,Fish,Non-Veg,410 cal,38%,14%,40%,145 mg,4%,1/4/2015,,0
35,Tamarind Fish Curry,F15. Tamarind Fish Curry.JPG,"Traditionally cooked in a clay or earthen pot, the fish is cooked in spicy and delectable gravy made with onions, tomatoes, tamarind and spices sautéed in sesame oil.",1,15 mins,20 mins,Moderate,4,Fish,Non-Veg,325 cal,20%,35%,30%,145 mg,4%,1/4/2015,,0
36,Calamari Achari,F16. Calamari Achari.jpg,Calamari cooked in the perfect blend of aniseeds (saunf) and nigella seeds (kalonji). ,1,60 mins,20 mins,Easy,2,Fish,Non-Veg,317 cal,45%,35%,20%,116 mg,4%,1/4/2015,,0
37,Patra Ni Machchi,F17. Patra Ni Machhi.jpg,A delicious Parsi preparation fish cooked with green chutney wrapped in banana leaves.,1,25 mins,20 mins,Moderate,4,Fish,Non-Veg,600 cal,25%,24%,20%,103 mg,4%,1/4/2015,,0
38,Baked Indian Basa,F18. Baked Indian Basa.jpg,A garlic flavoured fish dish that is simple yet exquisite in its flavours,1,60 mins,25 mins,Tough,1,Fish,Non-Veg,329 cal,45%,24%,23%,97 mg,5%,1/4/2015,,0
39,Fish Moilee,F19. Fish Moilee.jpg,Kerela styled fish stew made with coconut milk,1,10 mins,20 mins,Moderate,4,Fish,Non-Veg,330 cal,45%,34%,23%,142 ml,4%,1/4/2015,,0
40,Xoriyoh Fish,F20. Xoriyoh Fish.jpg,Excusite Assamese fish recipe dipped in mustard sauce spiced with green chillies and cooked in mustard oil. ,1,60 mins,20 mins,Moderate,4,Fish,Non-Veg,307 cal,50%,17%,33%,108 mg,4%,1/4/2015,,0
41,Mutton Korma,M1.Mutton Korma.JPG,Kormas are typically made by marinating the main ingredient in yogurt and spices like ginger and garlic.,1,30 mins,60 mins,Tough,6,Mutton,Non-Veg,522 cal,32%,26%,42%,120 mg,5%,1/5/2015,,0
42,Mutton Vindaloo,M2. Mutton Vindaloo.jpg,Mutton Vindaloo is a traditional dish of Goa made with meat dipped in wine/vinegar and garlic. ,1,60 mins,45 mins,Tough,4,Mutton,Non-Veg,390 cal,21%,41%,38%,55 mg,4%,1/5/2015,,0
43,Mutton Dum Biryani,M3. Mutton Dum Biryani.jpg,"This is classic Hyderabadi dish is long-grained rice cooked with mutton, retaining the aroma of varied spices.",1,180 mins,75 mins,Tough,4,Mutton,Non-Veg,754 cal,18%,39%,42%,91 mg,6%,1/5/2015,,0
44,Mutton Roganjosh,M4. Mutton Rogan Josh.jpg,"This signature Kashmiri dish is known for its flavors of fennel, ginger and marked by the sriking red hue.",1,20 mins,60 mins,Moderate,4,Mutton,Non-Veg,400 cal,28%,30%,40%,55 mg,4%,1/5/2015,,0
45,Mutton Do Pyaza,M5. Mutton Do Pyaza.JPG,"Raw onions are slowly cooked with the meat, enhancing the flavor. The fried onions, added toward the end boost the color of the dish.",1,20 mins,60 mins,Moderate,4,Mutton,Non-Veg,325 cal,40%,30%,28%,110 mg,4%,1/5/2015,,0
46,Kashmiri Lamb,M6. Kashmiri Lamb.jpg,This cuisine combines the area's fruits and nuts with the ingredients. This rich stew makes a marvelous main dish. ,1,15 mins,75 mins,Moderate,4,Mutton,Non-Veg,342 cal,52%,25%,22%,111 mg,4%,1/5/2015,,0
47,Mutton Shashlik,M7. Mutton Sashlik.jpg,"Cubes of mutton marinated with garlic, ginger, raw papaya and a medley of exciting spices grilled to perfection.",1,180 mins,20 mins,Easy,2,Mutton,Non-Veg,464 cal,35%,20%,43%,69 mg,4%,1/5/2015,,0
48,Raan Musallam,M8. Mutton Rann.jpg,A whole mutton leg roasted is a festive dish.,1,180 mins,20 mins,Tough,4,Mutton,Non-Veg,597 cal,30%,25%,43%,149 mg,4%,1/5/2015,,0
49,Lamb Chops,M9. Lamb Chops.jpg,"Quick and easy to cook, lamb chops have tender, juicy meat that is best served slightly pink.",1,15 mins,26 mins,Easy,6,Mutton,Non-Veg,112 cal,34%,6%,40%,49 mg,4%,1/5/2015,,0
50,Keema Methi,M10. Keema Meethi.jpg,Incredibly delicious combination of lamb flavored with fenugreek leaves. This dish is from Andhra Pradesh.,1,10 mins,40 mins,Moderate,4,Mutton,Non-Veg,297 cal,49%,26%,22%,101 mg,3%,1/5/2015,,0
51,Mutton Rada,M11. Mutton Rara.jpg,"Cooked slowly and patiently in whole spices, mutton and condiments come together to create a heavenly mutton recipe",1,30 mins,70 mins,Tough,6,Mutton,Non-Veg,592 cal,32%,26%,42%,183 mg,5%,1/6/2015,,0
52,Stir Fried Lamb,M12. Stir Fried Lamb.jpg,"Fragrant, intense and full of fiery chile, this lamb stir-fry isn’t for the timid eater. ",1,60 mins,25 mins,Moderate,6,Mutton,Non-Veg,490 cal,21%,41%,38%,95 mg,4%,1/6/2015,,0
53,Galouti Kabab,M13. Galouti Kabab.jpg,This melt-in-your-mouth kabab with Mint-Coriander chutney is mainstay of Awadhi cuisine,1,120 mins,40 mins,Tough,4,Mutton,Non-Veg,754 cal,18%,39%,42%,91 mg,6%,1/6/2015,,0
54,Reshmi Kabab,M14. Reshmi Kabab.jpg,"This delicious kabab gets its name from the juicy, succulence of the meat used to make it. The meat gets this way thanks to the marinade in which it is soaked.",1,20 mins,60 mins,Moderate,4,Mutton,Non-Veg,401 cal,38%,25%,35%,105 mg,4%,1/6/2015,,0
55,Nihari Gosht,M15. Nihari Gosht.jpg,A traditional dish of slow cooked meat adorned with just the right amount of spice.,1,30 mins,70 mins,Tough,6,Mutton,Non-Veg,525 cal,35%,30%,33%,167 mg,4%,1/6/2015,,0
56,Boti Kabab,M16. Boti Kabab.jpg,A mughlai dish that comprises of intensely marinated mutton pieces which are usually grilled.,1,20 mins,30 mins,Moderate,4,Mutton,Non-Veg,442 cal,52%,25%,22%,121 mg,4%,1/6/2015,,0
57,Shami Kebab,M17. Shami Kebab.JPG,"These kebabs are silky smooth and stuffed with just a little finely chopped onion, mint and green chilli.",1,30 mins,60 mins,Tough,4,Mutton,Non-Veg,434 cal,35%,20%,43%,109 mg,4%,1/6/2015,,0
58,Methi Gosht,M18. Methi Gosht.jpg,"The fenugreek leaves add a lovely, earthy flavor to chunks of mutton in this delicious dish.",1,10 mins,30 mins,Moderate,6,Mutton,Non-Veg,557 cal,30%,25%,43%,169 mg,4%,1/6/2015,,0
59,Lamb Handi,M19. Lamb Handi.jpg,"Despite its delicious taste, this authentic recipe is simple to make, and far less time consuming than traditional Indian curries.",1,20 mins,40 mins,Moderate,6,Mutton,Non-Veg,406 cal,40%,16%,34%,149 mg,4%,1/6/2015,,0
60,Mutton Rezala,M20. Mutton Rezala.jpg,Extremely fragrant mutton in yogurt based stew and a bit thick in consistency,1,60 mins,60 mins,Tough,4,Mutton,Non-Veg,561 cal,39%,26%,32%,131 mg,4%,1/6/2015,,0
61,Pork Spare Ribs,P1.Pork Spare Ribs.jpg,"Fall-off-the-bone spare ribs can be  grilled, barbecued, roasted or slow-cooked. ",1,120 mins,90 mins,Moderate,4,Pork,Non-Veg,337 cal,30%,28%,42%,103 mg,5%,1/7/2015,,0
62,Spicy Sweet Pork Tenderloin,P2. Spicy Sweet Pork Tenderloin.jpg,"Start with a spicy rub, pan sear and oven bake. Then brush with a sweet spicy sauce.",1,10 mins,30 mins,Easy,4,Pork,Non-Veg,169 cal,47%,26%,28%,74 mg,3%,1/7/2015,,0
63,Pork Stir Fry,P3. Pork Stir Fry.jpg,"In the time that it takes to wait for take-out, you could already be sinking your chopsticks into this savory pork stir-fry.",1,20 mins,10 mins,Moderate,4,Pork,Non-Veg,247 cal,40%,26%,32%,72 mg,4%,1/7/2015,,0
64,Smoked Pork In Sengmora Leaves (Xaak),P4. Pork in Sengmora Xaak.jpg,This traditional dish of Arunachal Pradesh is cooked by combining pork with sengmora leaves.,1,5 mins,30 mins,Moderate,4,Pork,Non-Veg,140 cal,45%,26%,27%,52 mg,4%,1/7/2015,,0
65,Pork Pandi Curry,P5. Pork Pandi Curry.jpg,"A famous delicacy from Coorg, Pandi Curry is  pork cooked in a freshly made masala paste.",1,5 mins,20 mins,Moderate,4,Pork,Non-Veg,340 cal,23%,26%,52%,157 mg,5%,1/7/2015,,0
66,Pork with Dry Bamboo Shoot,P6. Pork with Dry Bamboo Shoot.JPG,"A delicay from Nagaland, this dish is pork cooked with fermented bamboo shoot.",1,5 mins,70 mins,Moderate,4,Pork,Non-Veg,280 cal,30%,22%,45%,157 mg,4%,1/7/2015,,0
67,Coconut Curried Pork,P7. Coconut Curried Pork.jpg,This signature pork dish is famed for it bold ingredients of coconut milk and the right amount of spices. ,1,5 mins,50 mins,Tough,4,Pork,Non-Veg,429 cal,30%,27%,39%,107 mg,4%,1/7/2015,,0
68,Pork Vindaloo,P8. Pork Vindaloo.JPG,"The traditional Goan pork dish flavored with chilies, garlic and vinegar. It's spicy and tangy at the same time. ",1,60 mins,60 mins,Tough,4,Pork,Non-Veg,401 cal,28%,32%,39%,127 mg,4%,1/7/2015,,0
69,Roasted Pork Belly,P9. Roasted Pork Belly.JPG,"Pork belly is a relatively cheap cut of meat, making this an affordable but a terrific crowd puller.",1,5 mins,150 mins,Easy,4,Pork,Non-Veg,278 cal,28%,16%,61%,106 mg,4%,1/7/2015,,0
70,Honey Glazed Ham,P10. Honey Glazed Ham.jpg,The honey glaze crackles with good flavor and taste as it has a distinctive flavor can only be achieved with a glaze.,1,4 mins,50 mins,Easy,4,Pork,Non-Veg,170 cal,41%,20%,37%,60 mg,4%,1/7/2015,,0
71,Hamburger,P11. Hamburger.jpg,"A blend of mayonnaise, ketchup, slow-cooked onions and pork makes a perfect tangy, sweet and creamy hamburger",1,10 mins,40 mins,Easy,4,Pork,Non-Veg,375 cal,38%,30%,42%,101 mg,5%,1/8/2015,,0
72,Spicy Honey Mustard Pork Roast,P12. Honey-Mustard Pork Roast.jpg,Spicy Pork in a wonderful fan fried gravy sauce,1,10 mins,60 mins,Easy,6,Pork,Non-Veg,409 cal,40%,26%,33%,94 mg,3%,1/8/2015,,0
73,Pork Chops in  Beer,P13. Pork Chops in  Beer.jpg,This beer braised tender chops are perfect for a hectic weeknight because they're so easy to prep.,1,20 mins,10 mins,Moderate,4,Pork,Non-Veg,547 cal,40%,26%,32%,72 mg,4%,1/8/2015,,0
74,Wonton Soup,P14. Wonton Soup.jpg,Pork wontons simmer in broth with Chinese vegetables in this hearty and warming dish,1,15 mins,15 mins,Easy,4,Pork,Non-Veg,240 cal,49%,26%,25%,62 mg,4%,1/8/2015,,0
75,Baked Beans with Pork,P15. Baked Beans with Pork.jpg,"A little sweet, a little spice, and a little onion, and then bake it with bacon over the top.",1,20 mins,60 mins,Moderate,4,Pork,Non-Veg,290 cal,39%,23%,32%,97 mg,4%,1/8/2015,,0
76,Swedish Meatballs,P16. Swedish Meatballs.jpg,These are heavenly balls of pork smothered in a creamy gravy sauce.,1,15 mins,25 mins,Moderate,4,Pork,Non-Veg,380 cal,35%,22%,40%,167 mg,4%,1/8/2015,,0
77,Thai Pork with Peanut Sauce,P17. Thai Pork with Peanut Sauce.jpg,This delicious dish combines the standard pork chop with the wonderful flavor of coconuts and peanuts. ,1,30 mins,30 mins,Moderate,4,Pork,Non-Veg,419 cal,30%,27%,39%,137 mg,4%,1/8/2015,,0
78,Fiery Pork Skewers,P18. Fiery Pork Skewers.jpg,"Pork in teriyaki sauce, red wine vinegar, vegetable oil, brown sugar and red pepper flakes. ",1,15 mins,20 mins,Tough,4,Pork,Non-Veg,402 cal,28%,35%,37%,107 mg,4%,1/8/2015,,0
79,Pork with Black Bean Salsa,P19. Pork with Black Bean Salsa.jpg,Pork smeared in flavoured salsa accompanied by the goodness of black beans,1,5 mins,25 mins,Easy,4,Pork,Non-Veg,378 cal,33%,16%,41%,156 mg,4%,1/8/2015,,0
80,Szechaun Pork,P20. Szechaun Pork.jpg,This chinese favourite can be made in an instance and is hearty and budget friendly,1,10 mins,15 mins,Easy,4,Pork,Non-Veg,570 cal,31%,40%,27%,180 mg,4%,1/8/2015,,0
81,Egg Curry,E1. Egg Curry.JPG,Spicy and creamy egg curry made with dash of spices.,1,5 mins,30 mins,Easy,4,Egg,Non-Veg,177 cal,39%,30%,31%,113 mg,5%,1/9/2015,,0
82,Scrambled Egg,E2. Scrambled Egg.jpg,The perfect scrambled eggs should be soft and just a little bit moist.,1,0 mins,10 mins,Easy,1,Egg,Non-Veg,154 cal,45%,23%,31%,97 mg,4%,1/9/2015,,0
83,Masala Omelette  ,E3. Masala Omlette.jpg,"Masala omelette is an all time favourite. The easiest dish to make on the go, you can fluff it up and add a variety of toppings ",1,5 mins,5 mins,Easy,2,Egg,Non-Veg,225 cal,42%,27%,31%,113 mg,4%,1/9/2015,,0
84,Egg Bhruji,E4. Egg Bhurji.JPG,"Scrambled eggs, fried and tossed with a host of spices.",1,5 mins,10 mins,Easy,2,Egg,Non-Veg,201 cal,37%,32%,31%,113 mg,5%,1/9/2015,,0
85,Egg Masala,E5. Egg  Masala.jpg,Finely chopped boiled eggs with Indian spices tossed in,1,5 mins,20 mins,Easy,4,Egg,Non-Veg,260 cal,41%,34%,26%,119 mg,4%,1/9/2015,,0
86,Egg Roll,E6. Egg Roll.jpg,"This is a famous Indian street food which is made of fried eggs, onions, chillies wrapped in ",1,5 mins,10 mins,Easy,2,Egg,Non-Veg,227 cal,36%,31%,33%,93 mg,4%,1/9/2015,,0
87,Egg Benedict,E7. Egg Benedict.jpg,"Hot buttered muffins, bacon, and poached eggs are topped with a heavenly drizzle of hollandaise sauce. ",1,5 mins,25 mins,Easy,4,Egg,Non-Veg,284 cal,38%,31%,39%,93 mg,4%,1/9/2015,,0
88,Chettinad Egg Curry,E8. Chettinad Egg Curry.jpg,"A finger licking and spicy egg curry with flavorful spices,this curry goes very well with rice and roti.",1,15 mins,30 mins,Easy,3,Egg,Non-Veg,303 cal,34%,35%,31%,156 mg,5%,1/9/2015,,0
89,Stuffed Eggs,E9. Stuffed Eggs.jpg,Hard-cooked eggs get dolled up with the classic combination of cream cheese and seasonings.,1,10 mins,10 mins,Easy,4,Egg,Non-Veg,149 cal,45%,27%,28%,89 mg,5%,1/9/2015,,0
