recipe_id,name,image,description,user_id,preparation,cooktime,level,serves,category,type,calories,protein,carbohydrates,fat,cholesterol,salt,created_at,like_num,is_editerpick
90,Egg Bean Salad,E10. Egg Bean Salad.JPG,"A simple and delicious combination of hard-cooked eggs, beans and onion. A little mayo holds it all together.",1,20 mins,30 mins,Moderate,2,Egg,Non-Veg,164 cal,44%,28%,27%,98 mg,4%,1/9/2015,,0
91,Muglai Parantha,E11. Muglai Parantha.jpg,"Wholesome and tasty Mughlai-style stuffed bread  with liberal helping of eggs, onion, green chilies and coriander leaves.",1,30 mins,15 mins,Moderate,2,Egg,Non-Veg,267 cal,39%,30%,31%,143 mg,5%,1/10/2015,,0
92,Egg Korma,E12. Egg Korma.JPG,Boiled egg cooked in masala flavoured curry.,1,10 mins,25 mins,Easy,4,Egg,Non-Veg,254 cal,45%,23%,31%,97 mg,4%,1/10/2015,,0
93,Cheese Omlette,E13. Cheese Omlette.jpg,"Masala omelette is an all time favourite. The easiest dish to make on the go, you can fluff it up and add a variety of toppings ",1,10 mins,5 mins,Easy,1,Egg,Non-Veg,245 cal,38%,27%,34%,133 mg,4%,1/10/2015,,0
94,Egg Pakoda,E14. Egg Pakoda.JPG,Puffs made from eggs and flour that makes for excellent quick snacks.,1,5 mins,10 mins,Easy,4,Egg,Non-Veg,201 cal,33%,32%,33%,103 mg,5%,1/10/2015,,0
95,Egg Salad,E15. Egg Salad.jpg,"This creamy egg salad is mashed up and mixed with mayo, mustard, tomato, crunchy bits of celery, and tangy dill relish.",1,5 mins,20 mins,Easy,2,Egg,Non-Veg,208 cal,45%,30%,26%,119 mg,4%,1/10/2015,,0
96,Egg Biryani,E16. Egg Biryani.JPG,Fragrant rice cooked in aromatic biryani spices and boiled eggs,1,15 mins,20 mins,Moderate,3,Egg,Non-Veg,227 cal,36%,31%,33%,93 mg,4%,1/10/2015,,0
97,Egg Manchurian,E17. Egg Manchurian.jpg,Crispy Egg balls made from flour and with traditional Chinese flavours,1,5 mins,25 mins,Moderate,2,Egg,Non-Veg,274 cal,41%,31%,37%,113 mg,4%,1/10/2015,,0
98,Baked Eggs with Beans,E18. Baked Eggs with Beans.jpg,Beans and eggs make for a healthy low carb diet,1,5 mins,20 mins,Moderate,3,Egg,Non-Veg,188 cal,54%,20%,23%,96 mg,5%,1/10/2015,,0
99,French Toast,E19. French Toast.jpg,"Thick slices of bread, soaked in a mixture of beaten eggs with milk and cinnamon, toasted in a frying pan",1,8 mins,15 mins,Easy,2,Egg,Non-Veg,209 cal,45%,27%,28%,89 mg,5%,1/10/2015,,0
100,Smoked Tofu & Egg Fried Rice,E20. Smoked Tofu & Egg Fried Rice.jpg,A simple and healthy dish compreising of smoked tofu sauteed with some cooked rice and eggs.,1,10 mins,20 mins,Moderate,2,Egg,Non-Veg,184 cal,44%,28%,27%,92 mg,4%,1/10/2015,,0
101,LittiChokha,LittiChokha.jpg,"Litti is a traditional dish from India's Bihar state; it consists of balls of wheat and sattu (powdered gram) formed into balls with spices, and then filled with ghee (clarified butter)",1,15 mins,45 mins,moderate,2,Vegetarian,Veg,,,,,,,1/11/2015,,0
103,Bajra Khichdi,Bajra Khichdi.jpg,"A unique recipe of Khichdi, totally tasty and healthy",1,10 mins,15 mins,easy,2,Vegetarian,Veg,,,,,,,1/11/2015,,0
104,Channa Madra,Channa Madra.JPG,This is a traditinal recipe of Himachal Pradesh. Very simple to make and tastes absolutely delicious,1,10 mins,20 mins,easy,2,Vegetarian,Veg,,,,,,,1/11/2015,,0
105,Kalari Cheese,Kalari Cheese.jpg,This is a traditinal recipe by shepherds in the mountains of Kashmir,1,5 mins,5 mins,easy,2,Vegetarian,Veg,,,,,,,1/11/2015,,0
106, Baingan ka Bharta,Baingan ka Bharta.jpg,"Baingan Bharta is a north Indian recipe made using roasted and mashed eggplant (brinjal) and cooked with onion, tomato, ginger and Indian spices",1,10 mins,10 mins,moderate,2,Vegetarian,Veg,,,,,,,1/11/2015,,0
107,Spiced Lentil Soup,Spiced Lentil Soup.jpg,A soup to warm your soul! Healthy and tasty meal for winter,1,5 mins,20 mins,easy,4,Vegetarian,Veg,,,,,,,1/11/2015,,0
108,Uttapam,Uttapam.jpg,A breakfast recipe from South India. Easy to cook and delicious to eat,1,5 mins,10 mins,easy,2,Vegetarian,Veg,,,,,,,1/11/2015,,0
109,Red Kidney Beans Curry,Red Kidney Beans Curry.jpg,"Rajmah Chawal, a red kidney bean curry served with rice, is a rustic Indian meal that is cooked in households all over India",1,480 mins,20 mins,easy,2,Vegetarian,Veg,,,,,,,1/11/2015,,0
110,Boondi Raita,Boondi Raita.JPG,Boodi are tiny fried gram flour balls. Boondi Raita is ery easy to make and goes well with any North Indian dish especially rice dishes like Biryani and Pulao,1,5 mins,0 mins,easy,2,Vegetarian,Veg,,,,,,,1/11/2015,,0
111, Sweet Lassi,Sweet Lassi.jpg,Sweet Lassi is a drink to relish not only in summer but always. It is quite popular in punjab and north india,1,5 mins,0 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
112, Sweet Lime Soda,Sweet Lime Soda.jpg," A sweet lemonade made using soda water instead of plain water, Sweet Lime Soda, is one of the best drinks to beat the summer heat",1,5 mins,0 mins,easy,4,Beverages,Veg,,,,,,,1/12/2015,,0
113, Badam Milk,Badam Milk.jpg,Badam Milk (Almond Milk flavored with saffron) is a delicious milk shake,1,20 mins,5 mins,easy,4,Beverages,Veg,,,,,,,1/12/2015,,0
114, Classic Vodka Martini,Classic Vodka Martini.jpg,"Vodka martini, the famous James Bond drink, which he prefers to be known as Vesper, is one of the most popular global drinks",1,5 mins,0 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
115, James Bond Martini,James Bond Martini.jpg,Shaken not Stirred,1,5 mins,0 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
116, Old Fashioned,Old Fashioned.jpg,Try this quintessential Old Fashioned cocktail with your favorite bourbon.,1,5 mins,0 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
117, Daiquiri,Daiquiri.jpg,"The Daiquiri has developed, much like the Martini and Margarita, into a sub-family of drinks. The common denominator is rum, lime, and a sweetener",1,5 mins,0 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
118, Margarita,Margarita.jpg,"Margarita is one of the most famous cocktails in North America, it is such a classic that you should have the recipe memorized.",1,5 mins,0 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
119, Bloody Mary,Bloody Mary.jpg,This lively eye-opener adds a spicy kick to brunch,1,5 mins,0 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
120, Manhattan,Manhattan.jpg,"One of the finest and oldest cocktails, Manhattan was the first cocktail that used vermouth as a modifier",1,5 mins,0 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
121,Achari Paneer,achari paneer.jpg,"Achari paneer is an aromatic accompaniment, which imbibes its flavour from a mixture of seeds used in the seasoning.",1,8 mins,7 mins,easy,2,Vegetarian,Veg,,,,,,,1/12/2015,,0
122,Pudina Parantha,pudina parantha.jpg,A healthy stuffed pudina parantha.,1,25 mins,25 mins,moderate,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
123,Gobi Manchurian,gobi manchurian.jpg,Gobi Manchurian is a very popularIndo-Chinese dish,1,40 mins,20 mins,easy,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
124,Paneer Tikka,paneer tikka.jpg,"Paneer tikka is marinated cottage chese cubes, arranged on skewers and grilled or baked in the oven. This recipe is made on tawa.",1,60 mins,30 mins,moderate,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
125,Vada Pav,vada pav.jpg,Staple snack/meal of Mumbaikar. It's addictive,1,10 mins,30 mins,moderate,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
126,Gobi Parantha,gobhi paratha.jpg,A healthy stuffed gobi (cauliflower) parantha.,1,30 mins,30 mins,moderate,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
127,Masala Dosa,Masala Dosa.jpg,"Masala dosa is a famous south indin dish, tasty to the core",1,480 mins,30 mins,easy,5,Vegetarian,Veg,,,,,,,1/12/2015,,0
128,Paneer Bhurji,paneer bhurjee.jpg,Quick to make and tasty to eat. ,1,5 mins,15 mins,easy,2,Vegetarian,Veg,,,,,,,1/12/2015,,0
129,Dahi Vada,dahi vada.jpg,"Very popular  indian street food  made of lentil dumplings in curd, spiced with chutneys.",1,480 mins,30 mins,moderate,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
130,Paneer Butter Masala,Panner Butter Masala.jpg,Cottage cheese cubes prepared in a creamy tomato gravy.,1,10 mins,30 mins,easy,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
131,Dal Makhani,Dal Makhani.jpg, Punjabi lentil recipe in the house. ,1,15 mins,45 mins,moderate,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
132,Dal Tadka,Dal Tadka.jpg,Creamy spicy dal to add flavor to your meal,1,10 mins,20 mins,easy,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
133,Punjabi Chole,Punjabi Chole.jpg,Punjabi Chole is a must try North Indian recipe,1,480 mins,45 mins,moderate,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
135,Malai Kofta,Malai Kofta.jpg,"Paneer & Potato koftas in a creamy, rich, and sweet gravy.",1,40 mins,50 mins,moderate,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
136,Paneer Kofta,paneer kofta.jpg,Paneer koftas in a  sweet cashew gravy.,1,45 mins,45 mins,moderate,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
137,Pasta in Red Sauce,Pasta in red sauce.jpg,Classic penne pasta in tomato sauce. ,1,30 mins,20 mins,easy,2,Vegetarian,Veg,,,,,,,1/12/2015,,0
138,Methi Mutter Malai,Methi Matar Malai.jpg,Popular north indian gravy. Sweet and tasty,1,15 mins,30 mins,easy,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
139,Veg Biryani,Veg Biryani.JPG,"Hyderabadi biryani - light, aromatic and yummy. ",1,45 mins,45 mins,tough,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
140,Bhindi Masala,Bhindi Masala.jpg,Classic bhindi (Okra) curry - semi dry ,1,15 mins,30 mins,easy,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
141,Aloo Gobi Masala,Aloo Gobi Masala.jpg,Classic aloo gobi recipe - easy and tasty,1,15 mins,45 mins,easy,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
142,Peas Masala,Peas Masala.jpg,Classic green peas (mutter) masala recipe - easy and tasty,1,15 mins,45 mins,easy,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
143,Veg Pulao,Veg Pulao.jpg,Kashmiri sweet kaju kishmish Pulao recipe,1,15 mins,25 mins,easy,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
144,Veg Hakka Noodles,Veg Hakka Noodles.JPG,An indo chinese spicy dish prepared with  noodles and mix vegetables.,1,15 mins,25 mins,easy,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
145,Veg Chow Mein,Veg Chowmein.jpg,An indo chinese spicy dish prepared with  noodles and mix vegetables.,1,15 mins,25 mins,easy,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
146,Mix Vegetable Curry,Mix Veg.jpg,A nutritious and healthy vegeterian dish. ,1,10 mins,30 mins,easy,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
147,Hara Bhara Kabab,Hara Bhara Kabab.jpg,Healthy kababs made from peas and spinach. ,1,20 mins,40 mins,moderate,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
148,American Chopsuey Veg,American Chopsuey Veg.jpg,Indo-chinese recipe of crispy noodles served  with a sweet and sour vegetable gravy,1,20 mins,40 mins,moderate,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
149,Veg Spring Rolls,Veg Spring Rolls.jpg,A classic indo-chinese deep fried dish that is enjoyed by everyone,1,15 mins,30 mins,moderate,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
150,Vegetable Cutlets,Vegetable Cutlets.jpg,A healthy spicy cutlet made from vegetables. ,1,30 mins,30 mins,moderate,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
151,Dal Bukhara,Dal Bukhara.jpg,A dal recipe very similar to Dal Makhani,1,480 mins,45 mins,moderate,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
152,Lachha Parantha,Lachha Parantha.jpg,Crispy healthy parantha,1,15 mins,25 mins,tough,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
153,Vermicelli Kheer,Vermicelli Kheer.jpg,"A sweet delicacy, also called Seviyan Kheer, great for festive dinners and parties",1,10 mins,15 mins,easy,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
154,Moong Dal Kachori,Moong Dal Kachori.jpg,"A tasty snack that is generally made for the festive season. The Kachori is served with curd, green chutney and tamarind chutney.",1,15 mins,20 mins,moderate,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
155,Moong Dal Samosa,Moong Dal Samosa.jpg,A tasty and healthy samosa recipe. Perfect for tea time. ,1,15 mins,25 mins,moderate,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
156,Sweet Potato Souffle,Sweet Potato Souffle.jpg,A sweet potato side dish made in oven.. Yummy,1,15 mins,75 mins,easy,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
157,Cheese Risotto,Cheese Risotto.jpg,Cheese Risotto is a north Italian rice dish cooked in broth and cheese. ,1,10 mins,50 mins,easy,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
158,Honey Chilli Potato,Honey Chilli Potato.jpg,Great tasty honey chilli potatoes cooked in few easy steps,1,15 mins,15 mins,easy,2,Vegetarian,Veg,,,,,,,1/12/2015,,0
159,Honey Roasted Pineapple,Honey Roasted Pineapple.jpg,Great tasty honey roasted pineapple cooked in few easy steps,1,10 mins,30 mins,easy,2,Vegetarian,Veg,,,,,,,1/12/2015,,0
160,Puran Poli,Puran Poli.jpg,A sweet delicacy from Maharashtra. ,1,270 mins,30 mins,moderate,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
161,Paneer Grilled Sandwich,Paneer Grilled Sandwich.jpg,Healthy sandwich recipe,1,10 mins,15 mins,easy,4,Vegetarian,Veg,,,,,,,1/12/2015,,0
162,Brooklyn,Brooklyn.JPG,A variation of Manhattan named after the most populous of New York City's five boroughs,1,5 mins,5 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
163,Sidecar,Sidecar.jpg,The Sidecar was reportedly created in Paris during WWI and was made with Cognac or Armagnac. Lately it is more commonly made with bourbon ,1,5 mins,5 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
164,French 75,french75.jpg,"The French 75 is a cocktail first made around the end of World War One. Today it is a favored classic that combines gin, sweet and sour, and champagne",1,5 mins,5 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
165,Irish Coffee,Irish Coffee.jpg,"Irish coffee is a cocktail consisting of hot coffee, irish whiskey, and sugar; stirred, and topped with thick cream",1,5 mins,5 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
166,Jack Rose,Jack Rose.jpg,"Jack Rose is the name of a classic cocktail, popular in the 1920s and 1930s, containing applejack, grenadine, and lime juice",1,5 mins,5 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
167,Negroni,Negroni.jpg,"The Negroni cocktail is made of gin,  vermouth rosso and  Campari. It is considered an apéritif.",1,5 mins,5 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
168,Boulevardier,Boulevardier.jpg,"The boulevardier cocktail is similar to the Negroni, with the gin replaced by rye whiskey or bourbon.",1,5 mins,5 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
169,Sazerac,Sazerac.jpg,"The Sazerac is a New Orleans variation of Cognac cocktail, named for the Sazerac de Forge et Fils brand of Cognac brandy that served as its original main ingredient",1,5 mins,5 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
170,Vieux Carre,Vieux Carre.jpg,"Named after New Orleans’s French Quarter this drink is as representative of the city as the neighborhood. It is strong, fun, and a little bit crazy.",1,5 mins,5 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
171,Ramos Gin Fizz,Ramos Gin Fizz.jpg,"Ramos Fizz, the New Orleans Fizz was created in the late 1800's by Henry C. Ramos in New Orleans. ",1,5 mins,5 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
172,Mint Julep,Mint Julep.jpg,"The mint julep is a centuries-old cocktail, consisting primarily of bourbon and fresh mint.",1,5 mins,5 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
173,Whiskey Sour,Whiskey Sour.jpg,"The whiskey sour is a cocktail containing whiskey (often Bourbon), lemon juice, sugar, and optionally a dash of egg white",1,5 mins,5 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
174,Mai Tai,Mai Tai.jpg,"Mai Tai is an alcoholic cocktail based on rum and combined with pineapple juice and orange juice to make a yummy, fruity drink",1,5 mins,5 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
175,Planter's Punch,Planters Punch.jpg,"Planter's Punch is a cocktail made of dark rum, lemon juice, grenadine syrup and a dash of Angostura bitters",1,5 mins,5 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
176,Pisco Sour,Pisco Sour.jpg,"A Pisco Sour is a cocktail typical of South American cuisine.The drink's name comes from pisco, which is its base liquor, and sour citrus juice and sweetener components
",1,5 mins,5 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
177,Cosmopolitan,Cosmopolitan.jpg,"Cosmopolitan's popularity peaked in the 1990's due to its multiple appearances in the HBO show, Sex and the City",1,5 mins,5 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
178,Tom Collins,Tom Collins.jpg,The Tom Collins is a refreshing gin cocktail and an excellent sipper for hot summer day,1,5 mins,5 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
179,Last Word,Last Word.jpg,The Last Word is a Gin based prohibition-era cocktail originally developed at the Detroit Athletic Club.,1,5 mins,5 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
180,Mojito,mojito.jpg,Mojito is a traditional Cuban rum based cocktail which is extremely popular globally. If you are throwing a Havana or Cuban theme party this is THE drink to serve,1,5 mins,5 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
181,Long Island Iced Tea,longislandicedtea.jpg,"A Long Island Iced Tea is a popular cocktail which includes vodka, gin, tequila, and rum. The drink has a  high alcohol concentration ",1,5 mins,5 mins,easy,2,Beverages,Veg,,,,,,,1/12/2015,,0
182,Sabudana Khichdi,Sabudana Khichdi.JPG,A yummy breakfast dish of tapioca pearls (sabudana) cooked with potatoes and peanuts,1,480 mins,30 mins,easy,4,Breakfast,Veg,,,,,,,1/12/2015,,0
183,Medu Vada,Medu Vada.jpg,A yummy breakfast from South India. Crisp and fried dough nuts served with sambar and chutney. ,1,240 mins,40 mins,moderate,4,Breakfast,Veg,,,,,,,1/12/2015,,0
184,Banana Pancakes,Banana Pancakes.JPG,A yummy breakfast of pancakes with mapple sauce. ,1,10 mins,20 mins,easy,4,Breakfast,Non-Veg,,,,,,,1/12/2015,,0
185,Poha,Poha.jpg,Light and lovely breakfast recipe made from flattened rice (poha),1,10 mins,20 mins,easy,4,Breakfast,Veg,,,,,,,1/12/2015,,0
186,Aloo Parantha,Aloo Parantha.jpg,The classic aloo (potato) paratha. Punjabi breakfast item.  ,1,20 mins,30 mins,moderate,4,Breakfast,Veg,,,,,,,1/12/2015,,0
187,Upma,Upma.jpg,South indian breakfast dish made with rava (semolina).,1,5 mins,15 mins,easy,2,Breakfast,Veg,,,,,,,1/12/2015,,0
188,Sweet Honey Waffles,Sweet Honey Waffles.jpg,Sweet english breakfast recipe,1,5 mins,15 mins,easy,2,Breakfast,Non-Veg,,,,,,,1/12/2015,,0
189,Misal Pav,Misal Pav.jpg,"Street food from mumbai, sprouts curry topped with onions, tomatoes, farsan and served with pav.",1,15 mins,45 mins,easy,4,Breakfast,Veg,,,,,,,1/12/2015,,0
190,Rabri,Rabri.jpg,A rich tasty desert made out of milk,1,15 mins,105 mins,moderate,4,Desserts,Veg,,,,,,,1/12/2015,,0
191,Gulab Jamun,Gulab Jamun.jpg,Very popular Indian dessert. Must try!,1,30 mins,30 mins,easy,4,Desserts,Veg,,,,,,,1/12/2015,,0
192,Gajar ka Halwa,Gajar ka Halwa.jpg,"An Indian delicacy made from carrots, milk and sugar. ",1,15 mins,105 mins,moderate,4,Desserts,Veg,,,,,,,1/12/2015,,0
193,Rasgulla,Rasgulla.jpg,A syrupy dessert from bengal. ,1,240 mins,40 mins,moderate,4,Desserts,Veg,,,,,,,1/12/2015,,0
194,Blueberry Cheesecake,Blueberry Cheesecake.jpg,"Yummiest cheesecake of all, the blueberry one. Right?",1,30 mins,120 mins,moderate,4,Desserts,Veg,,,,,,,1/12/2015,,0
195,Caramel Custard,Caramel Custard.jpg,Very popular pudding. Yummy and tasty.,1,15 mins,60 mins,moderate,4,Desserts,Non-Veg,,,,,,,1/12/2015,,0
196,Doodhi ka Halwa,Doodhi ka Halwa.jpg,Also called lauki ka halwa. Sweet Indian delicacy made from bottle gourd (doodhi). ,1,15 mins,45 mins,easy,4,Desserts,Veg,,,,,,,1/12/2015,,0
197,Besan Ladoo,Besan Ladoo.jpg,Very popular ladoo dessert made from gram flour and ghee. ,1,10 mins,20 mins,easy,4,Desserts,Veg,,,,,,,1/12/2015,,0
198,Falooda,Falooda.jpg,"A perfect summer dessert beverage made from milk, rose syrup, falooda and icecream.",1,20 mins,10 mins,easy,4,Desserts,Veg,,,,,,,1/12/2015,,0
199,Black Forest Cake,Black Forest Cake.jpg,A chocolate cake with lot of cream. ,1,20 mins,50 mins,tough,8,Desserts,Non-Veg,,,,,,,1/12/2015,,0
200,Sheera (Sooji ka Halwa),Sheera.jpg,Classic Indian dessert made from rava (semolina) and ghee. ,1,5 mins,15 mins,easy,2,Desserts,Veg,,,,,,,1/12/2015,,0
201,Mango Shake,Mango Shake.jpg,Refreshing mango milkshake for summer season.,1,10 mins,5 mins,easy,3,Desserts,Veg,,,,,,,1/12/2015,,0
1,Butter Chicken,C1. Butter Chicken.jpg,Butter Chicken Masala is one of the most popular Indian chicken recipes liked by  all for its mild flavour and deliciously rich gravy. ,1,60 mins,25 mins,Tough,6,Chicken,Non-Veg,390 cal,30%,15%,50%,122 mg,4%,1/1/2015,,1
102,Khandvi,Khandvi.jpg,"Khandvi is a popular snack from the state of Gujarat. Nobody can hide their love for this delicious savoury made of gram flour and curd, tempered with mustard seed",1,10 mins,10 mins,tough,4,Vegetarian,Veg,,,,,,,1/11/2015,,1
134,Pav Bhaji,Pav Bhaji.jpg,Yummy street food from Mumbai. Must try. ,1,30 mins,30 mins,moderate,4,Vegetarian,Veg,,,,,,,1/12/2015,,1
